sample-id	mouse-id	Sex	Strain	Animal_source	age	Unit_age	light_cycle	diet	feeding_schedule	Protocol REF	ionizing_radiation	dose	Unit	Time_of_Sample_Collection_After_Treatment	Unit_time	Time_of_Collection_categorical	dose_categorical
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep9_30dM9	Mouse 9	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep10_30dM10	Mouse 10	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep1_30dM11	Mouse 11	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep2_30dM12	Mouse 12	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep3_30dM13	Mouse 13	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep4_30dM14	Mouse 14	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep5_30dM15	Mouse 15	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep6_30dM16	Mouse 16	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep7_30dM17	Mouse 17	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep8_30dM18	Mouse 18	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep9_30dM19	Mouse 19	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep10_30dM20	Mouse 20	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	30	day	30_days	0.25_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep1_30dM21	Mouse 21	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep2_30dM22	Mouse 22	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep3_30dM23	Mouse 23	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep4_30dM24	Mouse 24	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep5_30dM25	Mouse 25	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep6_30dM26	Mouse 26	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep7_30dM27	Mouse 27	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep8_30dM28	Mouse 28	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
